"Story","Title","Result","Date","Stability","Duration (s)"
"Forgot Password","SG 005 - Forgot Password valid data","SUCCESS","2024-01-26T16:13:01.101155+07:00[Asia/Jakarta]","0.0","1.36"
"Forgot Password","SG 006 - Forgot Password invalid data unregister","FAILURE","2024-01-26T16:13:02.478042+07:00[Asia/Jakarta]","0.0","0.1"
"Sign In Recruitment Nashta Group","SG 001 - Sign In Valid Data","SUCCESS","2024-01-26T16:13:02.579078+07:00[Asia/Jakarta]","0.0","0.3"
"Sign In Recruitment Nashta Group","SG 002 - Sign In for user without email","SUCCESS","2024-01-26T16:13:02.880917+07:00[Asia/Jakarta]","0.0","0.14"
"Sign In Recruitment Nashta Group","SG 003 - Sign In for user without password","SUCCESS","2024-01-26T16:13:03.026678+07:00[Asia/Jakarta]","0.0","0.21"
"Sign In Recruitment Nashta Group","SG 004 - Sign In for user invalid data unregister","SUCCESS","2024-01-26T16:13:03.241928+07:00[Asia/Jakarta]","0.0","0.2"
"Job Order Request","JOR 002 - Update Job Order Request","ERROR","2024-01-26T16:13:03.454464+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 003 - Delete Job Order Request","ERROR","2024-01-26T16:13:03.472355+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 004 - Job Order Request Approval","ERROR","2024-01-26T16:13:03.490481+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 005 - Job Order Request Rejected","ERROR","2024-01-26T16:13:03.502429+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 006 - Job Order Request Revised","ERROR","2024-01-26T16:13:03.517052+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 007 - Job Order Request In Progress","ERROR","2024-01-26T16:13:03.527172+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 008 - Job Order Request In History Approval","ERROR","2024-01-26T16:13:03.537401+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 009 - Job Order Request In History Rejected","ERROR","2024-01-26T16:13:03.54644+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 010 - Job Order Request In History Revised","ERROR","2024-01-26T16:13:03.556366+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 011 - Cancel Job Order Request","ERROR","2024-01-26T16:13:03.565104+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 012 - Get One Job Order Request","ERROR","2024-01-26T16:13:03.577391+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 013 - List Job Posting","ERROR","2024-01-26T16:13:03.586075+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 014 - List Request Approved","ERROR","2024-01-26T16:13:03.594236+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 015 - List Request Rejected","ERROR","2024-01-26T16:13:03.602591+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 016 - List Request Revised","ERROR","2024-01-26T16:13:03.610474+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 017 - List Request InProgress","ERROR","2024-01-26T16:13:03.621206+07:00[Asia/Jakarta]","0.0","0.01"
"Job Order Request","JOR 018 - List Request Draft","ERROR","2024-01-26T16:13:03.629421+07:00[Asia/Jakarta]","0.0","0.01"
